vocab,type,meaning,weight
rear,adj,"後面的,背後的",0
reckless,adj,不在乎的;魯莽的,0
reptile,adj,爬行動物(似)的,0
republican,adj,共和政體的,0
resident,adj,"居住的,定居的;常駐的",0
reverse,adj,顛倒的;相反的;反向的,0
ridiculous,adj,"可笑的,荒謬的;滑稽的",0
rigid,adj,堅硬的;嚴格的;死板的,0
robust,adj,強健的;健全的;結實的,0
rugged,adj,高低不平的;粗糙的;粗線條的,0
sacred,adj,神的;神聖的,0
salmon,adj,"鮭肉色的,淺澄色的",0
savage,adj,野性的;兇猛的;殘酷的,0
secure,adj,安全的牢固的,0
shabby,adj,破爛的;破舊的;邋遢的,0
sloppy,adj,懶散的;草率的,0
sly,adj,狡猾的,0
sober,adj,清醒的;沒喝醉的;嚴肅的,0
sole,adj,單獨的;唯一的,0
solemn,adj,嚴肅的;莊嚴的;鄭重的,0
solitary,adj,單獨的;唯一的;隱居的,0
sovereign,adj,最高統治者的;具有獨立主權的,0
squat,adj,蹲著的;矮胖的,0
statistical,adj,統計的;統計學的,0
stern,adj,嚴厲的;堅定的,0
stout,adj,矮胖的;結實的;牢固的,0
straightforward,adj,一直向前的;正直的;簡單易懂的,0
stray,adj,迷路的;流浪的;零星的,0
structural,adj,建築上的;建築用的;結構上的,0
sturdy,adj,結實的;健康的;堅固的,0
stylish,adj,時髦的;漂亮的,0
substantial,adj,大量的;實在的,0
superficial,adj,外表的;粗略的;膚淺的,0
supreme,adj,"最高的,至上的",0
tan,adj,鞣革的;棕褐色的,0
tentative,adj,試驗性的;暫時性的;猶豫的,0
terminal,adj,末端的;終點的,0
toxic,adj,毒(性)的;有毒的,0
transparent,adj,透明的;一目了然的;易懂的,0
trim,adj,整齊的;苗條的,0
triple,adj,三倍的;三重的,0
underneath,adj,下面的;底層的,0
understandable,adj,可理解的;能懂的,0
upright,adj,挺直的;直立的;正直的,0
upward,adj,向上的;升高的,0
utter,adj,徹底的;十足的;絕對的,0
vague,adj,(形狀等)模糊不清的;曖昧的,0
velvet,adj,天鵝絨製的;柔軟光滑的,0
verbal,adj,言辭上的;動詞的,0
vertical,adj,垂直的;豎的,0
vigorous,adj,精力充沛的,0
wary,adj,小心翼翼的;謹防的,0
weary,adj,疲倦的;厭倦的,0
weird,adj,怪誕的,0
wholesale,adj,批發的,0
wholesome,adj,有益健康的;強健的,0
widespread,adj,分佈(或散佈)廣的,0
worthwhile,adj,值得花費時間(或金錢)的,0
worthy,adj,值得的,0
abide,v,忍受;等候,0
abolish,v,廢除;廢止,0
accustom,v,使習慣於,0
acknowledge,v,承認,0
adore,v,崇拜;愛慕,0
ally,v,使結盟;使聯姻,0
alter,v,改變;修改,0
alternate,v,輪流,0
anchor,v,拋錨;繫住;主持電視新聞節目,0
applaud,v,向...鼓掌;稱讚,0
armor,v,穿盔甲(或加裝甲);提供防禦,0
ascend,v,登高;上升;,0
assault,v,攻擊;抨擊;施暴,0
astonish,v,"使吃驚,使驚訝",0
awe,v,使敬畏;使畏怯,0
ballot,v,投票;投票表決,0
ban,v,禁止;取締,0
banquet,v,宴請,0
batter,v,連續猛擊;搗毀;把...用舊,0
beautify,v,使更加美麗;美化,0
beware,v,當心;提防,0
bid,v,吩咐;(拍賣中)喊價,0
blast,v,炸開;吹奏;嚴厲批評,0
blaze,v,燃燒;閃耀;炫示,0
bleach,v,漂白;曬得褪色;使脫色,0
blot,v,污損(名譽);(用吸墨紙)吸乾,0
blur,v,使模糊不清;使朦朧,0
bog,v,陷入泥沼;動彈不得,0
bolt,v,閂上;用螺栓拴緊;吞吃;衝出,0
boom,v,發出隆隆聲;激增;暴漲;興旺,0
bound,v,與...接界;跳躍;彈回,0
brace,v,支撐;做好準備,0
braid,v,編成辮子;編成穗帶;編結,0
bribe,v,向...行賄,0
broaden,v,變寬;變闊;擴大,0
brood,v,孵蛋;籠罩;沈思;沮喪,0
browse,v,瀏覽,0
bruise,v,使受瘀傷;碰傷(水果);挫傷(感情),0
bulge,v,膨脹;凸起;裝滿,0
bully,v,脅迫;欺侮,0
butcher,v,屠宰(牲口),0
cannon,v,開砲;砲轟,0
caution,v,警告;使小心,0
cellar,v,把...藏入地窖(或酒窖),0
certificate,v,發證書給;用證書批准,0
chant,v,反覆地唱(或說);吟誦,0
chatter,v,喋喋不休;吱吱叫,0
cite,v,引用;舉出;表揚,0
clasp,v,扣住;鉤住;緊抱;緊握,0
cling,v,黏著;依附;墨守,0
cluster,v,使成簇(或群);叢生,0
clutch,v,抓住;攫取,0
cocoon,v,緊緊包住;使(自己)孤立,0
coil,v,捲;盤繞;捲成圈,0
combat,v,戰鬥;搏鬥;反對,0
commission,v,"委任,委託",0
commute,v,減刑;通勤,0
compact,v,使緊密;壓緊;使簡潔,0
compass,v,"圖謀,計劃;包圍;達到;理解",0
compel,v,強迫;強求,0
compliment,v,讚美;恭維,0
compound,v,使惡化;使混合;使合成;以複利計算; 妥協,0
comprehend,v,理解;領會;包含,0
compromise,v,妥協;危及;洩露(祕密等),0
compute,v,計算;估算;推斷,0
computerize,v,使電腦化;用電腦處理,0
conceal,v,"隱蔽,隱藏",0
conceive,v,構想出;設想;懷孕,0
condemn,v,責備;譴責;判刑,0
conduct,v,"引導,帶領",0
confront,v,面臨;遭遇,0
consent,v,同意;贊成,0
conserve,v,保存;保護;節省,0
console,v,安慰;慰問,0
contaminate,v,弄髒;污染,0
contemplate,v,凝視;思忖;仔細考慮,0
contend,v,爭取;競爭;搏鬥;聲稱,0
convert,v,轉變;變換;改變信仰,0
convict,v,證明...有罪;判...有罪,0
copyright,v,為(書籍等)取得版權,0
corrupt,v,使腐敗;使墮落;賄賂,0
counsel,v,忠告;提議,0
crater,v,使成坑; 形成坑,0
creak,v,發出咯吱咯吱聲,0
crib,v,作弊;抄襲,0
crouch,v,蹲伏;彎腰,0
crunch,v,嘎吱作響地咬嚼(或踩、壓),0
curb,v,控制;遏止;勒住,0
curry,v,梳刷(馬等);鞣製;用咖喱燒,0
dart,v,投擲(標槍等);投射;狂奔,0
dazzle,v,使眼花;使驚羨,0
decay,v,腐朽;衰退,0
deceive,v,"欺騙,蒙蔽",0
delegate,v,委派...為代表,0
despair,v,"絕望,喪失信心",0
despise,v,鄙視,0
devour,v,狼吞虎嚥地吃;吞沒,0
discard,v,"拋棄,摒棄,丟棄",0
discriminate,v,歧視;區分出,0
dispense,v,分配;執行;配(藥),0
dispose,v,配置;處置,0
distress,v,使悲痛;使苦惱,0
document,v,用文件證明,0
drape,v,(用布等鬆軟地)覆蓋;垂掛,0
dwarf,v,使顯得矮小;阻礙生長,0
dwell,v,居住;存在於;思索,0
eclipse,v,蝕;遮蔽;使失色;投下陰影,0
elaborate,v,精心製作,0
elevate,v,提高;振奮;升職,0
embrace,v,擁抱;包含;抓住(機會等),0
endeavor,v,努力;力圖,0
enroll,v,"把...記入名冊,登記",0
ensure,v,保證;擔保,0
entitle,v,給...權力(或資格),0
equate,v,用符號表示某種關係;等同,0
erect,v,"使豎立,使豎直",0
erupt,v,噴出;爆發,0
escort,v,護送;為...護航;陪同,0
esteem,v,尊重;評價,0
exceed,v,超過;勝過,0
excel,v,勝過;突出,0
exclaim,v,呼喊;驚叫,0
exclude,v,拒絕接納;排除在外,0
execute,v,實施;執行;處死,0
exile,v,流放;放逐,0
falter,v,踉蹌;搖晃;結巴地說話,0
fascinate,v,"迷住,使神魂顛倒",0
fatigue,v,使疲勞,0
fiddle,v,拉提琴;胡來;騙取,0
filter,v,過濾;滲透,0
flake,v,使成薄片;像雪花般覆蓋,0
flap,v,(上下或前後)拍動;(鳥)振(翅),0
flaw,v,使破裂;使有缺陷,0
flick,v,疾飛;掠過,0
flip,v,(為作出決定而)擲(硬幣);輕拋,0
flourish,v,茂盛;繁茂;興旺,0
format,v,編排或安排成某種形式,0
foul,v,污染;玷污;犯規;塞住,0
freight,v,裝貨於;運輸(貨物),0
fume,v,冒煙;薰;發怒,0
fuse,v,把保險絲接入(電路);熔接;裝引信,0
fuss,v,忙亂;小題大作;爭辯,0
gallop,v,(馬等)疾馳;飛跑,0
gasp,v,倒抽一口氣;喘氣,0
glare,v,怒目注視;眩目地照射,0
gleam,v,發微光;閃現,0
glitter,v,閃爍;光彩奪目,0
gloom,v,變陰暗;感到沮喪,0
gnaw,v,啃;嚙;折磨,0
gobble,v,狼吞虎嚥;(火雞)咯咯地叫,0
gorge,v,塞飽;狼吞虎嚥地吃,0
grant,v,"同意,准予",0
graze,v,吃草;放牧;擦傷,0
grease,v,塗油脂於;賄賂,0
grip,v,握牢;(咬或夾)牢;掌握,0
groan,v,呻吟;抱怨,0
gross,v,獲得...總收入(或毛利),0
growl,v,(狗等)嗥叫;(人)咆哮,0
grumble,v,發牢騷;咕噥;發轟隆聲,0
gulp,v,狼吞虎嚥;大口地吸(氣);哽住,0
gust,v,吹強風,0
gut,v,取出內臟;損毀(房屋等)的內部,0
handicap,v,"妨礙,使不利",0
harness,v,上挽具;套(馬);駕馭,0
haul,v,拖;拉;拖運,0
haunt,v,(鬼魂等)常出沒於;縈繞;常去,0
hedge,v,用樹籬圍住;兩面下注,0
heed,v,留心;注意,0
heighten,v,加高;增高;增加,0
herald,v,宣佈;通報;預示...的來臨,0
hijack,v,劫持,0
hiss,v,發出嘶嘶聲;發出噓聲,0
honk,v,發雁鳴;按喇叭,0
hood,v,罩上兜帽(或風帽);加罩於,0
hound,v,(用獵狗等)追獵;緊追,0
hover,v,盤旋;徘徊,0
howl,v,嗥叫;怒吼;大哭;大笑,0
hurl,v,猛力投擲;發射;厲聲叫罵,0
hymn,v,唱聖歌;唱讚美詩,0
impose,v,徵(稅);加(負擔等)於,0
incense,v,激怒;敬香,0
index,v,編索引,0
induce,v,導致;誘導;歸納出,0
indulge,v,沈迷於;滿足(慾望等);縱容,0
inherit,v,"繼承(傳統,遺產等)",0
initiate,v,創始;初學;(通過儀式)接納新成員,0
inquire,v,訊問;查問;調查,0
institute,v,創立;設立;開始,0
insure,v,投保;確保,0
issue,v,發行;發佈,0
jack,v,用千斤頂托起,0
jaywalk,v,不守交通規則橫穿馬路,0
jeer,v,嘲笑;嘲弄,0
jingle,v,發出叮噹聲,0
jolly,v,用好話勸(某人)做...;開玩笑,0
jug,v,(用罐)煮;燉;監禁,0
justify,v,證明...是正當的;辯解,0
kindle,v,點燃;煽動;照亮,0
lame,v,使跛腳;使...變得無力,0
layer,v,把...堆積成層,0
league,v,使結盟;使聯合,0
lessen,v,變小;變少;減輕,0
lime,v,撒石灰於,0
limp,v,跛行,0
linger,v,繼續逗留;持續;磨蹭,0
lodge,v,租房間給...住;申訴;暫住;投宿,0
lumber,v,伐木;(英國)拖累,0
lump,v,弄成一團;歸併到一起,0
magnify,v,放大;擴大;誇張,0
manifest,v,表明;顯示,0
marvel,v,感到驚訝;感到好奇,0
mash,v,把...搗成糊狀;壓碎,0
massage,v,給...按摩(或推拿),0
mediate,v,調停解決;傳達,0
menace,v,威脅;恐嚇,0
mingle,v,使混合;使相混;交往,0
moan,v,呻吟;嗚咽;悲歎,0
mock,v,嘲弄;(為取笑而)模仿,0
modernize,v,使現代化,0
modify,v,更改;修改,0
moss,v,以苔覆蓋;使長滿苔蘚,0
mound,v,築牆防衛;堆起; 積成堆,0
mount,v,登上;騎上;鑲嵌;發動(攻勢),0
mourn,v,哀痛;哀悼,0
mumble,v,含糊地說;咕噥,0
mutter,v,咕噥;抱怨,0
nag,v,使煩惱;糾纏不休;不斷嘮叨,0
navigate,v,航行於;飛行於;操縱;導航,0
nibble,v,一點點地咬(或吃),0
nickel,v,鍍鎳於,0
nominate,v,提名;任命,0
notify,v,通知;公佈,0
orient,v,使...朝東;定方位;使熟悉情況,0
ornament,v,裝飾;美化,0
outdo,v,勝過;超越,0
output,v,生產;使出;輸出,0
overdo,v,把...做得過分;使過於疲勞,0
overeat,v,吃得過飽,0
overflow,v,滿(或多)得溢出,0
overhear,v,無意中聽到;偷聽,0
oversleep,v,睡過頭,0
overwhelm,v,壓倒;征服;使受不了,0
overwork,v,使工作過度;使過勞;過度使用,0
paddle,v,用槳划(船),0
parallel,v,與...平行;比得上,0
patch,v,補綴;修補;拼湊,0
patent,v,取得...的專利權,0
patrol,v,巡邏;巡查,0
peck,v,琢;輕吻,0
peek,v,偷看;窺視,0
peg,v,用木釘釘;用木夾夾,0
penetrate,v,穿過;透過;識破;滲透入,0
perceive,v,察覺;感知;意識到,0
perch,v,(鳥)飛落;棲息;(在較高處)暫歇,0
peril,v,使有危險;危及,0
perish,v,消滅;暴卒;枯萎,0
persist,v,堅持;固執,0
pinch,v,擰;夾,0
piss,v,小便,0
pistol,v,用手槍射擊,0
plead,v,為(案件)辯護;懇求,0
pledge,v,保證給予;許諾;發誓,0
plow,v,犁;耕;開(路);破(浪)前進,0
pluck,v,採;拔...的毛;扯,0
plunge,v,投入;將...插入;急降,0
poke,v,戳;捅;撥弄,0
preach,v,佈道;說教,0
prevail,v,勝過;優勝;流行,0
preview,v,試演;試映,0
prey,v,捕食;掠奪,0
prick,v,刺(穿);扎(穿);使內心極度痛苦,0
profile,v,畫側面像;描出輪廓;寫傳略,0
prolong,v,延長;拉長;拖延,0
prop,v,支撐;維持;架;擱,0
proportion,v,使成比例;使平衡;分攤,0
prospect,v,勘探;找礦,0
prune,v,修剪;修整;修枝,0
publicize,v,宣傳;公佈;廣告,0
puff,v,一陣陣地吹;喘氣;用粉撲施粉,0
pulse,v,搏動;跳動;振動,0
purchase,v,"買,購買",0
quack,v,(鴨)呱呱叫,0
qualify,v,使具有資格,0
quiver,v,顫抖;抖動(翅膀等),0
rack,v,把...放在架子上,0
rally,v,召集;團結;重新振作,0
ranch,v,經營牧場(或農場),0
rattle,v,使發出咯咯聲;使驚惶失措,0
reap,v,收割;收穫,0
reckon,v,認為;把...看作;覺得;測量,0
recommend,v,"推薦,介紹",0
reel,v,捲;繞,0
referee,v,為...擔任裁判;仲裁,0
refute,v,駁斥;反駁,0
reign,v,君臨;統治,0
rejoice,v,欣喜;慶祝,0
repay,v,償還;報答,0
reproduce,v,繁殖;複製,0
resent,v,憤慨;怨恨,0
reside,v,居住;駐在,0
resort,v,訴諸;憑藉,0
restrain,v,抑制;約束,0
resume,v,重新開始;繼續;恢復,0
retort,v,反駁;回嘴,0
reverse,v,翻轉;倒退;反向,0
revive,v,復甦;恢復生機;使甦醒,0
revolt,v,反叛;起義;使反感,0
revolve,v,旋轉;自轉;以...為中心,0
rib,v,裝肋於;嘲弄,0
ridge,v,使成脊狀,0
rifle,v,"洗劫,劫掠",0
rim,v,形成邊緣;顯出邊緣,0
rip,v,撕;扯,0
ripple,v,起漣漪;(頭髮等)呈波狀,0
rival,v,與...競爭;比得上,0
roam,v,漫步;漫遊;流浪,0
rumble,v,(雷等)隆隆響;(車輛)轆轆行駛,0
rustle,v,(樹葉;紙等)沙沙作響;使沙沙作響,0
saddle,v,給(馬背)裝鞍;使負擔,0
saint,v,使成為聖徒,0
salute,v,向...行禮;向...致敬,0
savage,v,兇猛地攻擊;激烈抨擊,0
scan,v,細看;審視,0
scar,v,結疤;留下傷痕,0
scent,v,嗅;聞,0
scheme,v,"策劃,密謀",0
scorn,v,輕蔑;藐視,0
scramble,v,攀爬;雜亂蔓延;爭奪,0
scrap,v,將...作為廢物;將...拆毀,0
scrape,v,刮;擦;勉強過日子,0
scroll,v,使成卷形;用渦卷飾裝飾,0
secure,v,把...弄牢;關緊,0
segment,v,分割;切成片,0
sharpen,v,"削尖,磨快",0
shatter,v,粉碎;砸碎,0
shield,v,保護;庇護;掩蓋,0
shiver,v,發抖;打顫,0
shove,v,推;撞;亂塞,0
shred,v,切成條狀;用碎紙機撕毀(文件),0
shriek,v,尖叫;發出尖聲,0
shudder,v,發抖;戰慄,0
shutter,v,為...裝遮板(或快門等);關(店),0
simmer,v,煨;燉;(危機等)即將爆發,0
slam,v,猛地關上;砰地放下;打成滿貫,0
slap,v,摑...耳光;侮辱,0
slaughter,v,屠宰;屠殺,0
slay,v,殺死;殺害,0
slump,v,(沈重地)倒下;(經濟)衰落,0
smash,v,粉碎;瓦解;殺球,0
snarl,v,吠;咆哮;纏結,0
snatch,v,奪走;抓住,0
sneak,v,"偷偷地走,溜",0
sniff,v,嗅;用力吸;抽鼻涕,0
snore,v,打鼾,0
snort,v,噴鼻息;輕蔑(或憤怒)地哼,0
soak,v,浸泡;使濕透,0
sober,v,使醒酒;使清醒;變得嚴肅,0
soften,v,使變柔軟;使變和藹,0
sole,v,給(鞋等)裝底(或換底),0
solo,v,單獨地; 單獨表演;單飛,0
sow,v,播(種),0
sponge,v,(用海綿)揩拭;海綿般地吸收,0
spotlight,v,聚光照明;使公眾注意,0
sprint,v,奮力而跑;衝刺,0
spur,v,用靴刺踢;鞭策;鼓勵,0
squash,v,把...壓扁(壓碎);鎮壓,0
squat,v,蹲坐;蜷伏,0
stack,v,把...疊成堆;堆放,0
stagger,v,搖搖晃晃;蹣跚而行,0
stain,v,沾污;染污;染色,0
stake,v,"把...押下打賭,拿...冒險",0
stall,v,把...關入畜舍;使拋錨;支吾;拖延,0
startle,v,使驚嚇;使驚奇,0
steer,v,"掌(船)舵,駕駛",0
stereotype,v,使成為陳規;把...澆鑄成鉛板,0
stew,v,(用文火)燉;使極度不安;悶熱冒汗,0
stink,v,發惡臭;名聲臭,0
stoop,v,屈身;彎腰駝背;屈尊,0
straighten,v,把...弄直;澄清,0
strain,v,拉緊;伸張;竭力;扭傷;過濾,0
strand,v,使擱淺;處於困境,0
strap,v,用帶捆綁(或束住),0
stray,v,迷路;流浪;分心;入歧途,0
streak,v,形成條紋;疾駛;閃現,0
stride,v,邁大步走;跨越,0
stroll,v,散步;溜達,0
stumble,v,絆腳;絆倒;踉蹌,0
stump,v,砍去...的幹;作巡迴政治演說,0
stun,v,使昏迷;使大吃一驚,0
stutter,v,結結巴巴地說話,0
submit,v,提交;呈遞;使服從,0
substitute,v,用...代替;代替,0
summon,v,召喚,0
supervise,v,監督;管理;指導,0
suppress,v,鎮壓;壓制;抑制,0
surge,v,(海浪)洶湧;激增,0
suspend,v,使中止,0
sustain,v,支撐;承受,0
swamp,v,使陷入沼澤;淹沒;使陷入困境,0
swarm,v,成群地移動(或飛行);擠滿,0
sympathize,v,同情;憐憫,0
tackle,v,著手對付(或處理);擒抱並摔倒,0
tan,v,曬成棕褐色;鞣(皮),0
tangle,v,使糾結;使混亂,0
tar,v,塗焦油於;玷污;污辱,0
taunt,v,辱罵;嘲笑;奚落,0
tempt,v,引誘;誘惑,0
tenant,v,"租,租賃;居住於",0
terrace,v,使成梯形地,0
thrill,v,使興奮;使激動;使毛骨悚然;顫抖,0
throng,v,擠滿;湧入,0
thrust,v,用力推;刺;插,0
tick,v,發滴答聲;責備,0
tile,v,鋪砌瓦(或瓷磚等),0
tilt,v,使傾斜;使翹起;偏向,0
tin,v,把...裝罐,0
tiptoe,v,踮著腳,0
toil,v,苦幹;艱難地行進,0
torch,v,如火炬般地燃燒,0
torment,v,使痛苦;折磨;煩擾,0
torture,v,拷打;拷問;折磨,0
tramp,v,腳步沈重地行走;踐踏;流浪,0
trample,v,踩;踐踏;蔑視,0
trench,v,挖溝;挖戰壕,0
trifle,v,戲弄;輕視,0
trim,v,修剪;修整;整理;削減,0
triple,v,使成三倍;三倍於,0
trot,v,(馬等)小跑;(人)慢跑,0
tuck,v,把...塞進;使有褶襉,0
umpire,v,仲裁;當裁判,0
underline,v,劃線於...之下;強調,0
update,v,使...合乎時代;更新,0
utter,v,發出(聲音等);說;講,0
vacuum,v,吸塵,0
veil,v,用帷幕分隔;掩飾;戴面紗,0
venture,v,冒險;大膽行事,0
veto,v,否決;反對,0
vibrate,v,顫動;振動;震動,0
videotape,v,將(節目)錄到帶子上,0
vow,v,發誓要;鄭重宣告,0
wade,v,涉水而行;艱難地前進,0
wail,v,慟哭;(警笛等)尖嘯;哀訴,0
ward,v,避開;擋開,0
warehouse,v,把...存入倉庫,0
weary,v,使疲倦;使厭煩,0
wharf,v,靠碼頭,0
whine,v,發哀鳴聲;發牢騷,0
whirl,v,旋轉;迴旋,0
whisk,v,撢;打(蛋等); 迅速移動,0
wholesale,v,以批發方式,0
widow,v,使成寡婦(或鰥夫),0
wither,v,枯萎;凋謝,0
worship,v,崇拜;拜神;做禮拜,0
wring,v,絞;擰;緊握,0
yacht,v,駕快艇;乘遊艇,0
yarn,v,講故事;長談,0
yield,v,出產;使屈服;讓路,0
zip,v,以尖嘯聲行進;拉開拉鍊,0
zoom,v,發出嗡嗡聲;將畫面推近或拉遠,0
astray,adv,迷路;離開正道,0
awhile,adv,片刻,0
barefoot,adv,赤著腳地,0
beforehand,adv,事先;提前地,0
bodily,adv,親身地;以肉體形式;整體地,0
clockwise,adv,順時針方向地;右旋地,0
counterclockwise,adv,逆時針方向地,0
downward,adv,向下;日趨沒落地;(時間)往後推移地,0
downwards,adv,向下,0
foul,adv,違反規則地;不正當地,0
hence,adv,因此;由此,0
inland,adv,向內地;向內陸,0
inward,adv,向內;向中心,0
inwards,adv,向內,0
jolly,adv,"非常,很",0
meantime,adv,其間;同時,0
nonetheless,adv,但是;仍然,0
nowhere,adv,任何地方都不,0
outward,adv,"向外;出海,出港",0
outwards,adv,"向外;出海,出港;顯而易見地",0
overall,adv,總的來說;大體上,0
partly,adv,部分地,0
prior,adv,在前;居先,0
slap,adv,砰地;猛然地,0
solo,adv,單獨地,0
tiptoe,adv,踮著腳,0
underneath,adv,在下面;在底下,0
undoubtedly,adv,毫無疑問地;肯定地,0
upright,adv,挺直地;垂直地;豎著,0
upward,adv,向上;在上面;以上;超過,0
upwards,adv,"向上地,朝上",0
whereabouts,adv,在哪裡,0
wholesale,adv,以批發方式;全部地,0
midst,prep,在...之中,0
underneath,prep,在...下面,0
versus,prep,(常略作v.或vs.)與...相對,0
